,i,smi,qed,logp
0,0,C1=C(c2cccc(Nc3ccoc3)c2)CCCCCCCCCCCC1,0.6039246347047806,8.101400000000005
1,1,C1=C(c2cocc2Nc2ccccc2)CCCCCCCCCCCC1,0.6039246347047806,8.101400000000005
2,2,Cc1occ(C2=CCCCCCCCCCCC2)c1Nc1ccccc1,0.605292187497234,8.019720000000005
3,3,Cc1cc(Nc2ccc(C3=CCCCCCCCCCCC3)cc2)co1,0.6052921874972339,8.019720000000007
4,4,Cc1occc1Nc1cccc(C2=CCCCCCCCCCCC2)c1,0.6052921874972339,8.019720000000005
5,5,Cc1cocc1Nc1ccc(C2=CCCCCCCCCCCC2)cc1,0.6052921874972339,8.019720000000005
6,6,Cc1cc(Nc2cccc(C3=CCCCCCCCCCCC3)c2)co1,0.6052921874972339,8.019720000000005
7,7,Cc1cc(Nc2ccccc2C2=CCCCCCCCCCCC2)co1,0.6052921874972339,8.019720000000005
8,8,Cc1occ(Nc2ccccc2)c1C1=CCCCCCCCCCCC1,0.6052921874972338,8.019720000000005
9,9,Cc1ccccc1Nc1cocc1C1=CCCCCCCCCCCC1,0.6052921874972338,8.019720000000005
10,10,CC1CCCCCCCCCCC=C1c1cocc1Nc1ccccc1,0.6064564304527539,7.957300000000007
11,11,CC1(c2cocc2Nc2ccccc2)CCCCCCCCCCCC1,0.604800160076776,7.975700000000006
12,12,Cc1occ(C2CCCCCCCC(C)CCC2)c1Nc1ccccc1,0.6049869788414906,7.965920000000007
13,13,Cc1occ(C2CCCCCCCCC(C)CC2)c1Nc1ccccc1,0.6049869788414906,7.965920000000007
14,14,Cc1occ(Nc2ccccc2)c1C1CCCCCCCCCC(C)C1,0.6049869788414903,7.965920000000006
15,15,Cc1ccccc1Nc1cocc1C1CCCCCCCCCCC1C,0.6049869788414903,7.965920000000006
16,16,Cc1occ(Nc2ccccc2)c1C1CCCCCCCC(C)CCC1,0.6049869788414903,7.965920000000006
17,17,Cc1occ(Nc2ccccc2)c1C1CCCCCCCCCCC1C,0.6049869788414903,7.965920000000006
18,18,Cc1cc(Nc2ccc(C)c(C3=CCCCCCCCCCC3)c2)co1,0.6068379689969391,7.938040000000006
19,19,Cc1ccccc1Nc1coc(C)c1C1CCCCCCCCCCC1,0.60384006791607,8.028340000000005
20,20,CC1CCCCCCCCCCC(c2cocc2Nc2ccccc2)C1,0.6035072965082493,8.047600000000006
21,21,CC1CCCCCCCCCCC(c2occc2Nc2ccccc2)C1,0.6035072965082493,8.047600000000006
22,22,CC1CCCCCCCCCCCC1c1occc1Nc1ccccc1,0.6035072965082493,8.047600000000006
23,23,CC1CCCCCCCCCCCC1c1cocc1Nc1ccccc1,0.6035072965082493,8.047600000000006
24,24,CC1CCCCCCCC(c2cocc2Nc2ccccc2)CCCC1,0.6035072965082491,8.047600000000006
25,25,CC1CCCCCCC(c2cocc2Nc2ccccc2)CCCCC1,0.6035072965082491,8.047600000000006
26,26,CC1CCCCCCCCCC(c2cocc2Nc2ccccc2)C1C,0.6062449418954594,7.903500000000007
27,27,CC1CCCCCCC(c2cocc2Nc2ccccc2)CCC(C)C1,0.6062449418954594,7.903500000000007
28,28,CC1CCCCCCC(C)C(c2cocc2Nc2ccccc2)CCC1,0.6062449418954594,7.903500000000007
29,29,CC1CCCCCCCC(c2cocc2Nc2ccccc2)C(C)CC1,0.6062449418954594,7.903500000000007
30,30,CC1CCCCCCCCCC(C)C1c1cocc1Nc1ccccc1,0.6062449418954594,7.903500000000007
31,31,CC1CCCCC(c2ccoc2Nc2ccccc2)CCCC(C)CC1,0.6062449418954592,7.903500000000007
32,32,CCC(=C1CCCCCCCCC1C)c1cocc1Nc1ccccc1,0.6041041697004548,7.957300000000007
33,33,Cc1occ(Nc2ccccc2)c1C=C1CCCCCCCCCC1C,0.6081511385614172,7.875620000000006
34,34,CCC(=C1CCCCC(C)CCC1)c1c(Nc2ccccc2)coc1C,0.6057923045498197,7.875620000000007
35,35,CC(=CC1CCCCCCCCC1)c1c(Nc2ccccc2)coc1C,0.6057923045498197,7.875620000000007
36,36,CC(=CC1CCCCCCCCC1)c1cccc(Nc2coc(C)c2)c1,0.6057923045498197,7.875620000000007
37,37,CCC1CCCCCCCCC1=Cc1c(Nc2ccccc2)coc1C,0.6057923045498196,7.875620000000007
38,38,CC1CCCCCCCCCCC1(C)c1cocc1Nc1ccccc1,0.6078428984758272,7.831600000000008
39,39,c1ccc(Nc2cocc2CC2CCCCCCCCCCCC2)cc1,0.6044675926162029,7.876700000000006
40,40,c1ccc(Nc2occc2CC2CCCCCCCCCCCC2)cc1,0.6044675926162029,7.876700000000006
41,41,Cc1occ(Nc2ccccc2)c1C1CCCCCCCC(C)CC1C,0.6080732796429187,7.821820000000006
42,42,Cc1occ(Nc2ccccc2)c1C1C(C)CCCCCCCCC1C,0.6080732796429187,7.821820000000006
43,43,Cc1occ(Nc2ccccc2)c1C1CCCCCCCC(C)C1(C)C,0.6080732796429187,7.821820000000006
44,44,CCC1CCCCCC(c2ccoc2Nc2ccccc2C)CC(C)C1,0.6057147476224765,7.821820000000008
45,45,CCC1C(C)CCCCCCCCC1c1cocc1Nc1ccccc1,0.6038935014431981,7.903500000000007
46,46,CCC1CCCCCCCCC(c2cocc2Nc2ccccc2)C1C,0.6038935014431981,7.903500000000007
47,47,c1ccc(C2CCCCCCCCCCCC2)c(Nc2ccoc2)c1,0.6167012260753939,7.801600000000006
48,48,c1ccc(Nc2cocc2C2CCCCCCCCCCCC2)cc1,0.6167012260753939,7.801600000000006
49,49,c1ccc(Nc2occc2C2CCCCCCCCCCCC2)cc1,0.6167012260753939,7.801600000000006
50,50,c1ccc(Nc2coc(C3CCCCCCCCCCCC3)c2)cc1,0.6167012260753939,7.801600000000006
51,51,CCc1ccccc1Nc1coc(C)c1C=C1CCCCCCCCC1,0.6074964309244567,7.801920000000006
52,52,Cc1cc(Nc2cccc(C3=CCCCCCCCCCC=C3)c2)co1,0.6112794850486549,7.7957200000000055
53,53,Cc1occc1Nc1cccc(C2CCCCCCCCCC=C2F)c1,0.6074612566169593,7.7931200000000045
54,54,Cc1occ(Nc2ccccc2)c1CC1CCCCCCCCCCC1,0.6063601896958924,7.795020000000005
55,55,CC1CCCCCCCCCC(c2c(Nc3ccccc3)coc2F)C1,0.6059810970914554,7.796600000000007
56,56,C=Cc1c(Nc2ccccc2C2(C)CCCCCCCCC2)coc1C,0.6086305479434305,7.756820000000006
57,57,CC(=C1CCCCCCCC1)c1c(Nc2ccccc2Cl)coc1C,0.6034893097579047,7.892920000000006
58,58,CCC(=C1CCCCCCCCC1)c1c(Nc2ccccc2)coc1C,0.6029444424906222,8.019720000000007
59,59,CC1CCCCCCCCCCC1Cc1cocc1Nc1ccccc1,0.6079611481297463,7.732600000000008
60,60,CC1CCCCCCCCC(Cc2cocc2Nc2ccccc2)CC1,0.6079611481297462,7.732600000000007
61,61,CC1CCCCCCCC(Cc2ccoc2Nc2ccccc2)CCC1,0.6079611481297462,7.732600000000007
62,62,Cc1occc1-c1ccccc1NC1CCCCCCCCCCCC1,0.6103898152475492,7.730320000000005
63,63,Cc1cc(Nc2ccc(C3CCCCCCCCCCC3)cc2)co1,0.6188419151959001,7.719920000000006
64,64,Cc1cc(C2CCCCCCCCCCC2)c(Nc2ccccc2)o1,0.6188419151959001,7.719920000000006
65,65,Cc1occ(C2CCCCCCCCCCC2)c1Nc1ccccc1,0.6188419151959001,7.719920000000006
66,66,Cc1occc1Nc1ccccc1C1CCCCCCCCCCC1,0.6188419151959,7.7199200000000054
67,67,Cc1cc(Nc2cccc(C3CCCCCCCCCCC3)c2)co1,0.6188419151959001,7.7199200000000054
68,68,Cc1oc(Nc2ccccc2)cc1C1CCCCCCCCCCC1,0.6188419151959,7.7199200000000054
69,69,Cc1cocc1Nc1ccc(C2CCCCCCCCCCC2)cc1,0.6188419151959,7.7199200000000054
70,70,Cc1ccccc1Nc1cocc1C1CCCCCCCCCCC1,0.6188419151959,7.7199200000000054
71,71,Cc1cocc1Nc1ccccc1C1CCCCCCCCCCC1,0.6188419151959,7.7199200000000054
72,72,Cc1occ(Nc2ccccc2)c1C1CCCCCCCCCCC1,0.6188419151959,7.7199200000000054
73,73,Cc1ccccc1Nc1occc1C1CCCCCCCCCCC1,0.6188419151959,7.7199200000000054
74,74,Cc1occc1Nc1cccc(C2CCCCCCCCCCC2)c1,0.6188419151959,7.7199200000000054
75,75,Cc1cc(Nc2ccccc2C2CCCCCCCCCCC2)co1,0.6188419151959,7.7199200000000054
76,76,Cc1ccccc1Nc1coc(C)c1CC1CCCCCCCCCC1,0.608483798169988,7.713340000000006
77,77,C1=C(c2cccc(Nc3ccoc3)c2)CCCCCCCCCCC1,0.6200581413829611,7.711300000000005
78,78,C1=C(c2cocc2Nc2ccccc2)CCCCCCCCCCC1,0.6200581413829611,7.711300000000005
79,79,C1=C(c2ccc(Nc3ccoc3)cc2)CCCCCCCCCCC1,0.6200581413829611,7.711300000000005
80,80,C1=C(c2ccccc2Nc2ccoc2)CCCCCCCCCCC1,0.6200581413829611,7.711300000000005
81,81,CCC(=C1CCCCCCCCC1)c1cocc1Nc1ccccc1,0.6176531237149485,7.711300000000007
82,82,CCC1=C(c2cocc2Nc2ccccc2)CCCCCCCCC1,0.6176531237149485,7.711300000000006
83,83,CC(c1c(Nc2ccccc2)coc1F)C1CCCCCCCCCC1,0.6036306800132502,7.796600000000005
84,84,c1ccc(C2CCCCCCCCCCCC2)c(NCc2ccoc2)c1,0.60970857787637,7.670100000000007
85,85,c1ccc(NCc2cc(C3CCCCCCCCCCCC3)co2)cc1,0.6097085778763699,7.670100000000007
86,86,c1ccc(NCc2cocc2C2CCCCCCCCCCCC2)cc1,0.6097085778763699,7.670100000000006
87,87,Cc1occ(Nc2ccccc2)c1C1CCCCCCCC(F)CCC1,0.6094299557624007,7.667920000000005
88,88,Cc1occ(Nc2ccccc2)c1C1CCCCCCCCC(F)CC1,0.6094299557624007,7.667920000000005
89,89,CC1CCCCCCC(c2cocc2Nc2ccccc2)CCCC1,0.6206481871481935,7.657500000000007
90,90,CC1CCCCCCC(c2ccoc2Nc2ccccc2)CCCC1,0.6206481871481935,7.657500000000007
