,i,smi,qed,logp
0,0,CCC1CCCCC(C)=C(c2ccc(-c3ncn[nH]3)o2)CC1,0.8450847656700585,5.218600000000005
1,1,CC(C)c1nccc(-c2ncn[nH]2)c1C=C1CCCCCCC1,0.8558944034159512,5.117800000000004
2,2,CC(C)c1ccnc(-c2ncn[nH]2)c1C=C1CCCCCCC1,0.8558944034159512,5.117800000000004
3,3,CCC1CCCCCCCC(c2ncccc2-c2ncn[nH]2)C1,0.8563584751252629,5.110900000000004
4,4,CCC1=C(c2ccccc2-c2ncn[nH]2)CC2(C)CCC2CC1,0.8426244493398859,5.2355000000000045
5,5,CCC1=C(c2ccccc2-c2ncn[nH]2)CCCC2CCC12C,0.8426244493398859,5.2355000000000045
6,6,CC1=CC=C(Cc2ccccc2-c2ncn[nH]2)CCCCCC1,0.8420230750736897,5.241100000000004
7,7,CC1=CC(Cc2ccccc2-c2ncn[nH]2)=C(C)CCCCC1,0.8420230750736897,5.241100000000004
8,8,CC1CCC(C(C)C)=CC=C(c2ccccc2-c2ncn[nH]2)C1,0.8402548280515796,5.257500000000005
9,9,C=CC1=C(c2ccccc2-c2ncn[nH]2)CC(C)CCCC1C,0.8402548280515797,5.257500000000004
10,10,C=CC1=C(c2ccccc2-c2ncn[nH]2)CC(C)CCC1(C)C,0.8402548280515797,5.257500000000004
11,11,C=C1C(c2ccccc2-c2ncn[nH]2)=CCC(CC)CCC1C,0.8402548280515797,5.257500000000004
12,12,CCC1CCCCC(C)=CC(c2ccccc2)=C1c1ncn[nH]1,0.839767825587673,5.262000000000006
13,13,CCC1CCCCCC=CC(c2ccccc2)=C1c1ncn[nH]1,0.839767825587673,5.262000000000006
14,14,CCC1CCCC(c2ncn[nH]2)=C(c2ccccc2)C=C(C)C1,0.839767825587673,5.262000000000005
15,15,CCC1CCCC=CC=CCC1c1ccccc1-c1ncn[nH]1,0.8391281502960127,5.267900000000005
16,16,CCC1CCCC(c2ccccc2-c2ncn[nH]2)C=CC=C1C,0.8391281502960128,5.2679000000000045
17,17,CCC1=CC=CC(C)CC(c2ccccc2-c2ncn[nH]2)CC1,0.8391281502960128,5.2679000000000045
18,18,CCC1CC=CC=CC(c2ccccc2-c2ncn[nH]2)CCC1,0.8391281502960128,5.2679000000000045
19,19,CCC1=CC=CCC(c2ccccc2-c2ncn[nH]2)C(C)CC1,0.8391281502960128,5.2679000000000045
20,20,C=C1C=CCC(c2ccccc2-c2ncn[nH]2)CCCC1CC,0.8391281502960128,5.2679000000000045
21,21,CCC1C=CC=C(C)CC(c2ccccc2-c2ncn[nH]2)CC1,0.8391281502960128,5.2679000000000045
22,22,C=C1C=C(CC)C(c2ccccc2-c2ncn[nH]2)C(C)CCC1,0.8391281502960128,5.2679000000000045
23,23,CCC1C=CC=C(C)C(c2ccccc2-c2ncn[nH]2)CCC1,0.8391281502960128,5.2679000000000045
24,24,CCC1C=CC=CCC(c2ccccc2-c2ncn[nH]2)CCC1,0.8391281502960128,5.2679000000000045
25,25,CCC1=CC=CC(C)CCCC1c1ccccc1-c1ncn[nH]1,0.8391281502960127,5.267900000000005
26,26,CCC1C=CC=CCCCC(c2ccccc2-c2ncn[nH]2)C1,0.8391281502960127,5.267900000000005
27,27,CCC1CC=CC=CCC(c2ccccc2-c2ncn[nH]2)CC1,0.8391281502960128,5.2679000000000045
28,28,CCC1=CC=CC(C)C(c2ccccc2-c2ncn[nH]2)CCC1,0.8391281502960128,5.2679000000000045
29,29,CCC1CC=CC=C(C)C(c2ccccc2-c2ncn[nH]2)CC1,0.8391281502960128,5.2679000000000045
30,30,C=C1C=C(C)C(c2ccccc2-c2ncn[nH]2)CCCC1CC,0.8391281502960128,5.2679000000000045
31,31,CCC1CCC(c2ccccc2-c2ncn[nH]2)CC=CC=C1C,0.8391281502960128,5.2679000000000045
32,32,C=C1C=C(C)CC(c2ccccc2-c2ncn[nH]2)CC1(C)CC,0.8391281502960128,5.2679000000000045
33,33,CCC1C=CC=CCC(c2c(C)cccc2-c2ncn[nH]2)CC1,0.8478609880889055,5.186220000000005
34,34,CCc1n[nH]c(-c2ccccc2C2=C(C)CCC(C)CC=C2)n1,0.8481154785244414,5.183800000000004
35,35,CCc1n[nH]c(-c2ccccc2C2=CC=CCC(C)CCC2)n1,0.8481154785244414,5.183800000000004
36,36,CC=C1C=CC(=Cc2ccccc2-c2ncn[nH]2)C(CC)CC1,0.8487832331739241,5.177600000000004
37,37,CCC1C=CC=C(C)C=C(c2ccccc2-c2ncn[nH]2)CC1,0.8487832331739241,5.177600000000004
38,38,Cc1n[nH]c(Cc2ccccc2C2=CCCCCCCCC2)n1,0.843993521253668,5.221720000000004
39,39,CCC1=C(c2ccccc2)C(c2ncn[nH]2)C(C)CCCC1C,0.845432397335558,5.208200000000004
40,40,CCC1CCCC(C)=C(c2ccccc2)C(c2ncn[nH]2)C1C,0.8454323973355579,5.208200000000005
41,41,CCC1CCCCC=C(c2ccccc2)C(c2ncn[nH]2)C1C,0.8454323973355579,5.208200000000005
42,42,CCc1n[nH]c(-c2ccccc2C2=CCC(C)CCCC2C)n1,0.8394788366168567,5.2637000000000045
43,43,CCc1n[nH]c(-c2ccccc2C2=CCCCC(C)CC2C)n1,0.8394788366168567,5.2637000000000045
44,44,CCc1n[nH]c(-c2ccccc2C2=C(C)CC(C)CCC2C)n1,0.8394788366168567,5.2637000000000045
45,45,CCc1n[nH]c(-c2ccccc2C2=C(C)CCCC(C)C2C)n1,0.8394788366168567,5.2637000000000045
46,46,CCc1n[nH]c(-c2ccccc2C2=CC(C)CCCCC2C)n1,0.8394788366168567,5.2637000000000045
47,47,CCC1CCCC(C)=C(c2ccccc2C)C(c2ncn[nH]2)C1,0.8387280930921862,5.2706200000000045
48,48,CCC1CCCCCC=C(c2ccccc2C)C1c1ncn[nH]1,0.8387280930921862,5.270620000000005
49,49,CCc1n[nH]c(C2=CCC(c3ccccc3)CCCCCC2)n1,0.8378601422585344,5.278600000000004
50,50,CCC1C(c2ccccc2-c2ncn[nH]2)CCCCC2CCC21,0.8482302061863846,5.181700000000005
51,51,CCC1CCCC(c2ccccc2-c2ncn[nH]2)CC2CCC12,0.8482302061863845,5.181700000000005
52,52,CCC1C(c2ccccc2-c2ncn[nH]2)CCC2CCCCC21,0.8482302061863845,5.181700000000005
53,53,CCC1=C(c2ccccc2-c2nc(C)n[nH]2)CC2CCCCC12,0.8512465712213106,5.153820000000004
54,54,FC(c1ccccc1-c1ncn[nH]1)C1CCCCCCCC1,0.8426881307077915,5.232900000000003
55,55,C=C1C=CCCCCC(CC)=C1c1ccccc1-c1ncn[nH]1,0.8332537923453502,5.321700000000005
56,56,CCC1=CC(c2ccccc2-c2ncn[nH]2)=CCCCC=C1C,0.8332537923453504,5.321700000000004
57,57,CCC1=C(c2ccccc2-c2ncn[nH]2)C=CC(C)=CCCC1,0.8332537923453504,5.321700000000004
58,58,C(=C1CCCCCCCCC1)c1ccccc1Cc1nnc[nH]1,0.8351480808726969,5.303400000000006
59,59,CC1=C(c2ccccc2Cc2ncn[nH]2)C(C)(C)CCCCC1,0.8505710838537234,5.159300000000004
60,60,CC1=C(c2ccccc2Cc2ncn[nH]2)CC(C)CCCCC1,0.8505710838537234,5.159300000000004
61,61,C=C1CCCCCC(C)=C1c1ccccc1-c1nc(CC)n[nH]1,0.8325519004407911,5.327900000000005
62,62,CCc1cccc(-c2ncn[nH]2)c1C1=CCCCCCC(C)=C1,0.8325519004407911,5.327900000000004
63,63,CCc1n[nH]c(-c2ccccc2C2=C(C)CCCCC=C2C)n1,0.8325519004407911,5.327900000000004
64,64,CCc1n[nH]c(-c2ccccc2C2CC(C)CC(C)(C)C2C)n1,0.8450582906731255,5.209900000000005
65,65,CCc1n[nH]c(-c2ccccc2C2CC(C)(C)C(C)CC2C)n1,0.8450582906731255,5.209900000000005
66,66,CCc1n[nH]c(-c2ccccc2C2CCC(C)(C)C(C)C2C)n1,0.8450582906731255,5.209900000000005
67,67,CC1CCCCCC(C)C(Cc2ccccc2-c2ncn[nH]2)C1,0.8400331607888244,5.256800000000005
68,68,CC1CCCCCCC(C)C1Cc1ccccc1-c1ncn[nH]1,0.8400331607888244,5.256800000000005
69,69,CC1CCCCCCC(Cc2ccccc2-c2ncn[nH]2)C1C,0.8400331607888244,5.256800000000005
70,70,CCc1n[nH]c(-c2cccc(C)c2C2CCC(C)CC2(C)C)n1,0.8383513234028481,5.272320000000004
71,71,CCc1n[nH]c(-c2ccccc2C2(C)CCCCCCC2C)n1,0.8372869043226537,5.282100000000004
72,72,FCc1n[nH]c(-c2ccccc2C2CCCCCCCC2)n1,0.8504705903876308,5.159200000000004
73,73,Cc1n[nH]c(Cc2cccc(C)c2C2=CCCCCCCC2)n1,0.852565528493486,5.140040000000004
74,74,CCc1n[nH]c(-c2ccc(C)cc2C2=CCCCCCC2C)n1,0.832644811581519,5.326120000000005
75,75,Cc1n[nH]c(-c2ccccc2CC2CCCCC(C)C(C)C2)n1,0.8487257263329103,5.175120000000005
76,76,Cc1n[nH]c(-c2ccccc2CC2(C)CC(C)CC(C)(C)C2)n1,0.8487257263329103,5.175120000000005
77,77,Cc1n[nH]c(-c2ccccc2CC2CCCCCC(C)C2C)n1,0.8487257263329103,5.175120000000005
78,78,C=C1C=CC(c2ccccc2-c2ncn[nH]2)C(C)CCC1CC,0.8543403537201479,5.123800000000004
79,79,CCC1C=CC=CCC(c2ccccc2-c2ncn[nH]2)CC1C,0.8543403537201478,5.123800000000005
80,80,CCC1CCCC(C)C=CC(c2ccccc2)=C1c1ncn[nH]1,0.8549433463226941,5.117900000000006
81,81,CCC1C(c2ncn[nH]2)=C(c2ccccc2)C=CCCCC1C,0.8549433463226941,5.117900000000005
82,82,CCC1CCC(C)CC=CC(c2ccccc2)=C1c1ncn[nH]1,0.8549433463226941,5.117900000000006
83,83,CCC1CCC(C)C=C(c2ccccc2-c2ncn[nH]2)CC1C,0.8313956676391692,5.337400000000005
84,84,CCC1=C(c2ccccc2-c2ncn[nH]2)CC(C)C(C)C(C)C1,0.8313956676391692,5.337400000000005
85,85,CCC1C(C)=C(c2ccccc2-c2ncn[nH]2)CC(C)CC1C,0.8313956676391692,5.337400000000005
86,86,CCC1C=C(c2ccccc2-c2ncn[nH]2)CC(C)C(C)CC1,0.8313956676391692,5.337400000000005
87,87,CCC1CC=C(c2ccccc2-c2ncn[nH]2)C(C)C(C)CC1,0.8313956676391692,5.337400000000005
88,88,CC1CCC(C(C)C)CC=C(c2ccccc2-c2ncn[nH]2)C1,0.8313956676391692,5.337400000000005
89,89,CC1=C(c2ccccc2-c2ncn[nH]2)CC(C)CCC1C(C)C,0.8313956676391692,5.337400000000005
90,90,CCC1C(C)CCC(C)=C(c2ccccc2-c2ncn[nH]2)C1C,0.8313956676391692,5.337400000000005
91,91,CCC1=C(c2ccccc2-c2ncn[nH]2)CC(C)C(C)CC1C,0.8313956676391692,5.337400000000005
92,92,CC1CCCCCC=C1C(=CF)c1ccccc1-c1ncn[nH]1,0.8343825089839462,5.308700000000005
93,93,CCC1CCCCCC(C)C(c2ccccc2)=C1c1ncn[nH]1,0.8308962058715829,5.341900000000006
94,94,CCc1n[nH]c(C2(C)CCCCCC(c3ccccc3)CC2)n1,0.8510407602603891,5.152900000000004
