,i,smi,qed,logp
0,0,CCC1(c2cscn2)CCCCCCCC1c1ncn[nH]1,0.911861025760232,4.437100000000004
1,1,CCC1(c2cscn2)CCCCCCCC1c1nnc[nH]1,0.911861025760232,4.437100000000003
2,2,CCC1(c2cscn2)CCCCCCC(c2nnc[nH]2)C1,0.911861025760232,4.437100000000004
3,3,CCC1(c2cscn2)CCCCCC(c2nnc[nH]2)CC1,0.911861025760232,4.437100000000004
4,4,CCC1(c2cscn2)CCCCC(c2nnc[nH]2)CCC1,0.911861025760232,4.437100000000004
5,5,CCC1(c2cscn2)CCCCC(c2ncn[nH]2)CCC1,0.911861025760232,4.437100000000004
6,6,CCc1scnc1C1CCCCCCCC1c1nnc[nH]1,0.9119685450230234,4.4353000000000025
7,7,CCc1n[nH]c(C2CCCCCCCC2c2cscn2)n1,0.9119685450230233,4.435300000000004
8,8,CCc1n[nH]c(C2CCCCCCC(c3cscn3)C2)n1,0.9119685450230233,4.435300000000003
9,9,CCc1scnc1C1CCCCCCCC1c1nc[nH]n1,0.9119685450230233,4.435300000000003
10,10,CCc1n[nH]c(C2CCCCC(c3cscn3)CCC2)n1,0.9119685450230233,4.435300000000003
11,11,CCc1nnc(C2CCCCCCC(c3cscn3)C2)[nH]1,0.9119685450230233,4.435300000000003
12,12,CCc1scnc1C1CCCCCCC(c2nnc[nH]2)C1,0.9119685450230233,4.435300000000003
13,13,CCc1n[nH]c(C2CCCCCC(c3cscn3)CC2)n1,0.9119685450230233,4.435300000000003
14,14,CCc1scnc1C1CCCCCCCC1c1ncn[nH]1,0.9119685450230233,4.435300000000003
15,15,CCc1scnc1C1CCCCCC(c2nnc[nH]2)CC1,0.9119685450230233,4.435300000000003
16,16,CCC1CCCCC=C(c2nnc[nH]2)C(c2cscn2)C1,0.9128259157407895,4.418700000000004
17,17,CCC1CCCC(c2ncn[nH]2)=CCCC1c1cscn1,0.9128259157407895,4.418700000000004
18,18,CCC1CCCCCC(c2cscn2)C1=Cc1ncn[nH]1,0.9128259157407895,4.418700000000004
19,19,CCC1CCCCC=C(c2nnc[nH]2)CC1c1cscn1,0.9128259157407895,4.418700000000004
20,20,CCC1CCC(c2ncn[nH]2)=CCCCC1c1cscn1,0.9128259157407895,4.418700000000004
21,21,CCC1(C)CCCC=C(c2nnc[nH]2)C(c2cscn2)C1,0.9128259157407895,4.418700000000004
22,22,CCC1CCCC=C(c2nc[nH]n2)CCC1c1cscn1,0.9128259157407895,4.418700000000004
23,23,CCC1CCCC(c2cscn2)CC=C(c2ncn[nH]2)C1,0.9128259157407895,4.418700000000004
24,24,CCC1CCCC=C(c2nnc[nH]2)CCC1c1cscn1,0.9128259157407895,4.418700000000004
25,25,CCC1CCCCC(c2cscn2)CC=C1c1ncn[nH]1,0.9128259157407895,4.418700000000004
26,26,CCC1CCCCCC(c2ncn[nH]2)C=C1c1cscn1,0.9128259157407895,4.418700000000004
27,27,CCC1CCCCC(c2cscn2)CC1=Cc1nc[nH]n1,0.9128259157407895,4.418700000000004
28,28,CCC1CCCC=C(c2nnc[nH]2)C(c2cscn2)CC1,0.9128259157407895,4.418700000000004
29,29,CCC1CCCCC(c2cscn2)CC1=Cc1ncn[nH]1,0.9128259157407895,4.418700000000004
30,30,CCC1CCCC=C(c2nc[nH]n2)CC(c2cscn2)C1,0.9128259157407895,4.418700000000004
31,31,CCC1=C(c2cscn2)CC(c2ncn[nH]2)CCC(C)C1,0.9128259157407895,4.418700000000003
32,32,CCC1CC=C(c2ncn[nH]2)C(c2cscn2)CCCC1,0.9128259157407895,4.418700000000003
33,33,CCC1CCCCCC=C(c2nc[nH]n2)C1c1cscn1,0.9128259157407895,4.418700000000003
34,34,CCC1C(c2nnc[nH]2)=CCCCCCC1c1cscn1,0.9128259157407894,4.418700000000004
35,35,CCC1CCCCC=C(c2nc[nH]n2)C(c2cscn2)C1,0.9128259157407895,4.418700000000003
36,36,CCC1=C(c2nnc[nH]2)CC(c2cscn2)C(C)(C)CC1,0.9128259157407895,4.418700000000003
37,37,CCC1=C(c2ncn[nH]2)C(C)C(c2cscn2)CCCC1,0.9128259157407895,4.418700000000003
38,38,CCC1=C(c2nnc[nH]2)CC(c2cscn2)CC(C)CC1,0.9128259157407895,4.418700000000003
39,39,CCC1CCCC(c2cncs2)CCC=C1c1ncn[nH]1,0.9128259157407894,4.418700000000004
40,40,CCC1CC=C(c2ncn[nH]2)CC(c2cscn2)CCC1,0.9128259157407895,4.418700000000003
41,41,CCC1CCC=C(c2nnc[nH]2)CC(c2cscn2)CC1,0.9128259157407895,4.418700000000003
42,42,CCC1C=C(c2ncn[nH]2)C(c2cscn2)CCCCC1,0.9128259157407895,4.418700000000003
43,43,CCC1CCCC(c2cscn2)C(c2nnc[nH]2)=C(C)C1,0.9128259157407895,4.418700000000003
44,44,CCC1CCCCC=C(c2ncn[nH]2)C(c2cncs2)C1,0.9128259157407895,4.418700000000003
45,45,CCC1CCCC(c2cscn2)CCC=C1c1ncn[nH]1,0.9128259157407894,4.418700000000004
46,46,CCC1CCCCCC(=Cc2ncn[nH]2)C1c1cscn1,0.9128259157407895,4.418700000000003
47,47,CCC1CCCC(c2cscn2)CC(c2ncn[nH]2)=C1C,0.9128259157407895,4.418700000000003
