,i,smi,qed,logp
0,0,CC1CCC2(N)CCCCOCCCC12CC=Cc1ccncc1,0.8832636681411691,4.579400000000004
1,1,CC(CC12CCCOCCCCC1(N)CCC2C)c1ccccc1,0.8190915163386335,5.274700000000005
2,2,CC1CCCOC(C)COC(c2[nH]ncc2-c2ccccc2)C1,0.8956415920954688,4.359500000000003
3,3,C=C1COCCC(C)CCOC=CC=C1CNCc1ccccc1C,0.8717191306816762,4.544020000000004
4,4,Cc1ccccc1C=CCC12CCCOCCCCC1(N)CCC2C,0.7883936107610587,5.4928200000000045
5,5,CCCCc1c(C)cccc1OCc1ccccc1O,0.8294094229557133,4.622220000000004
6,6,C=C1C(OCCc2ccoc2O)=CC=CCCC1C,0.8902813506462814,3.970500000000003
7,7,CCOCC1CCC=CCC(c2ccn[nH]2)CCCCC1,0.8059373095582669,4.836600000000004
8,8,CC=Cc1cncnc1C12CCCOCCCCC1(N)CCC2C,0.8948752890073456,3.8556000000000026
9,9,CCc1cnccc1C1CCCC=CCCC(NC)C1C,0.8291419692423755,4.472000000000003
10,10,CC1=CCCC(CO)CC(Cc2ccccc2)OCC=CC1,0.8433987267032891,4.299300000000004
11,11,CCCCC(C)c1sccc1NCc1nnccc1C,0.798791077170602,4.752320000000004
12,12,CCc1ccccc1CC1COCCCOCCCCCC(C)O1,0.8106705301933396,4.562500000000004
13,13,c1cc(COCC2CCCCCCCCCC2)no1,0.7896399492743544,4.722000000000004
14,14,CC1CCC2(N)CCCCOCCCC12CC=CC1=COCO1,0.8570268398228861,3.872900000000003
15,15,C=CC1=CCCCCCC(Cc2ccnnc2CCC)=C1,0.7612844712487637,4.974500000000004
16,16,CC1=CC=CCCC=CCC1CCc1ccnnc1O,0.8451519277296197,3.9736000000000034
17,17,Cc1cn[nH]c1CC(F)CCCC(C)c1cccs1,0.7864354198504514,4.634220000000004
18,18,c1cc(COCC2CCCCCCCCCC2)co1,0.7333051242288093,5.327000000000005
19,19,COCC1CCCCCCC=CC=C(OC)CC(O)OCC1,0.8607477385102608,3.8049000000000026
20,20,CC=CCC=CCc1ccccc1-c1ccsc1O,0.7416087633853112,5.1856000000000035
21,21,C=CC(C)C1(CC=Cc2ccccc2C)CCCOCCCCC1N,0.7162007350052132,5.514820000000005
22,22,CC1=CCCC(c2nnccc2N)COCCCOCCCCC=C1,0.8318290360962773,4.032300000000003
23,23,CCCc1cnoc1Cc1ccccc1OCC(C)(C)C,0.7758606215735913,4.642800000000004
24,24,CCc1cnccc1C1CCCC=CCCC(NC)N1C,0.8595645143230991,3.6827000000000023
25,25,CC=CCC1CCCOCCCCC12CC=CC=C(CN)C2,0.7621218217043458,4.771000000000004
26,26,Cc1cncnc1C=C1C=CCCCCCCCC=CCC1O,0.7593133335548551,4.776120000000005
27,27,C=CC=C1CCCCOCCC(N)C(CCCC)=CCC1C,0.7281051025919263,5.159500000000005
28,28,CCCc1ccccc1C=Cc1ccoc1Cl,0.7353167620599168,5.055900000000003
29,29,CCC(OC(CF)c1ccccc1O)c1ccc[nH]1,0.8298551389780755,3.8988000000000023
30,30,CCC(C)c1ccccc1C1CCCCCOC(C)C1,0.6914346505176455,5.652900000000006
31,31,CC=CCCC1CCCCCCCCOCCC1CN,0.7590259837857175,4.684800000000003
32,32,CCCC(CN1CCCCCCCC1)c1cnoc1,0.7972915820675233,4.214500000000004
33,33,CC1CCC2(c3cn[nH]c3)CCCCOCCCC12CC=CCN,0.8211657056919811,3.9495000000000022
34,34,C=C1CCC=CC=CCCCC(CO)=CC=CC=CCO1,0.7615767998807673,4.624300000000004
35,35,CCC1=CCCCCNCC2C=CC=C3C2=CCOC3CCC=C1,0.7423902111751449,4.870300000000004
36,36,CC=CCC12CCCOCCCCC1(N)CCC2CC,0.7752703386387058,4.437200000000003
37,37,C=C1CCCC1CCCC1CCC1(CN)c1ccccc1,0.7442019259462632,4.819700000000004
38,38,Cc1ccccc1C=Cc1cn[nH]c1COCF,0.878263443152925,3.3321200000000015
39,39,CCC=CCOc1ccsc1C(CF)c1ccccc1O,0.737213124584218,4.900100000000005
40,40,CC=CC1CCOCCCCC=CCCNC1CCC,0.7694055069573148,4.473900000000004
41,41,CCCc1cn[nH]c1-c1ccccc1Cl,0.8400377907671782,3.6826000000000025
42,42,CC=CCC1=CC(C)=C(Cc2ccnnc2O)CC1,0.8348774378742195,3.7276000000000025
43,43,C=CC=C1COCCCCOCCC(C)CC=C1CCC,0.7228405155758775,5.068600000000005
44,44,CC1CCC2CCCCOCCCC12CCCN,0.8313350088634595,3.738500000000002
45,45,CCOCc1oncc1C1CCC=CCCCCCCC1,0.6989375740271073,5.375400000000005
46,46,CCC1CCCCNOCOCC=CCC(C=CF)CC1,0.7605653345625063,4.517700000000004
47,47,CC1CCC=CC=CC=CC=C(CO)CCCC=CO1,0.764822334729945,4.456600000000004
48,48,CCCCOc1c(C)cccc1OCc1ccccc1O,0.763745875398612,4.4585200000000045
49,49,C=C1CC=CCCCCC(CC2=C(C)C=CC=CC2)NOCCO1,0.7107457835546861,5.149500000000005
50,50,CCCOc1c(C)cccc1Oc1cncnc1O,0.894562112205544,3.0717200000000013
51,51,CCc1cc[nH]c1CCCC1CCCCOC1,0.826428065683516,3.7165000000000026
52,52,CCCCC1=CC=CC=C(Cc2oncc2CCO)C1,0.8225375432880692,3.754800000000003
53,53,CC=CCCc1cnccc1Cc1cn[nH]c1C=CC,0.8054429412893124,3.937300000000003
54,54,CCCC12CCCOCCCCC1(N)CCC2C,0.8102518087767427,3.881000000000002
55,55,CCC1CCC2(N)CCCCOCCCC12CC,0.8102518087767427,3.881000000000003
56,56,ClCc1ccccc1C=Cc1cnccc1CCl,0.7366438042903416,4.729600000000003
57,57,Cc1ccncc1C=CC(C)C1=CCC=CC=C1,0.754863817369451,4.481820000000004
58,58,CC1CC=C1CCCC1(C)C=CC=CCC(O)CCC1,0.7005712362559574,5.176500000000006
59,59,CCc1ccccc1N(C)c1[nH]ncc1CCl,0.8417039262248676,3.4788000000000023
60,60,CC1CCC2CCCCCCCCC12CC=CCN,0.7077397809426694,5.0583000000000045
61,61,C=CC1CCNCCCCCOCCCC1CCC,0.7750883829498337,4.165300000000004
62,62,NCCC=C(C=CC=CCl)c1ccnnc1-c1ccncc1,0.8279933752126717,3.579500000000002
63,63,CCc1n[nH]c(CCl)c1Nc1ccccc1C,0.8103332532370895,3.762920000000001
64,64,C=CCc1cnccc1C1=CCC=CC1C=C1C=CCO1,0.7679270426978411,4.239900000000004
65,65,CCC1C=CCCCC(=Cc2ccnnc2C=C(C)C)CC1,0.655735725017064,5.829700000000005
66,66,CC=C1CC=CC=CCCC=C(CO)OC=CCCO1,0.7864240189030112,3.9997000000000034
67,67,CCC12CCCOCCCCC1(NC)CCC2C,0.8089810450966481,3.7516000000000025
68,68,COCc1cc[nH]c1C(C)=COCc1ccsc1,0.8043137947340665,3.800200000000003
69,69,CCCCCc1ccccc1C(CF)c1ccccc1O,0.6912286487370627,5.2263000000000055
70,70,C=C1CCOCOCC(C)CC=CC=CC=C1CCC,0.7208207340168901,4.802100000000005
71,71,CCc1cnccc1C1CCCC=CCCC(N)N1C,0.8395207953932012,3.4220000000000015
72,72,CCCCC1(c2cscn2)CCC2OCCCCC21CC=CCN,0.7182996403033002,4.825400000000004
73,73,C=CC1=CC=CCCCCC(CC2=CC=CC=CC2)NC1OCCO,0.7543147676383224,4.354800000000004
74,74,CC=Cc1[nH]ncc1CC1CC(C=CF)=CO1,0.8686212811082531,3.141300000000002
75,75,C=Cc1sccc1C1=CCC2COC2(C)CC1,0.7529077238123143,4.363500000000003
76,76,CCCCC(C)CCc1ccncc1OCc1cc[nH]c1,0.722183933104885,4.747600000000003
77,77,CCOc1oncc1C(F)CC=Cc1ccccc1CCO,0.8072618970571853,3.722200000000003
78,78,CCCc1oncc1C1CCC=CCCCCCCC1,0.6522892856422023,5.791400000000006
79,79,CC=C1CCC(C)CCOCCCOCOC(C)(C(N)CC)C1,0.7778678069917733,4.036200000000003
80,80,CC=CC1CCC(c2ccccc2CO)CC1,0.777262543270753,4.028800000000003
81,81,CCCC(CC(C)C)c1cnoc1OCC=Cc1c[nH]cn1,0.7444671708666774,4.419700000000003
82,82,CCCOC1=COC(CC=C2CC=CC=C2C)C(C)=C1,0.7138799880643067,4.822200000000005
83,83,C=CC1=CC=CCCCC(CC)COCCOCC1=C,0.7413374306769275,4.454500000000004
84,84,CC1CCCCCCOC(C)(CC2(C)CC=CO2)C1,0.7120764259556621,4.834800000000005
85,85,CCC1=CC=CCCCCCC(OC)CCOCOC1,0.7579479840499677,4.238900000000004
86,86,CCCC1CCCCCOCCCOCCCOCC1,0.7612857420197108,4.196800000000004
87,87,COCc1ccccc1CNCC=Cc1ccsc1C,0.7770289540915938,4.005920000000003
88,88,CCc1[nH]ccc1C=CCCCCc1oncc1C,0.7522208234268251,4.299720000000003
89,89,CC=CCC12CCCOCCCC1(CN)CCC2C,0.7853644870375888,3.904600000000002
90,90,CCC(C)C1(C)CCCCCOCCC(N)C1,0.799103964313087,3.736900000000002
91,91,CC=Cc1sccc1CC1=CC=C(CNCF)C(CC)C1,0.689160574135873,5.123000000000005
92,92,CCc1[nH]ccc1C=CCCCc1oncc1C,0.7826662719717101,3.909620000000003
93,93,CCC=CC1=CCCC(C)=CC=CCOC(CF)C1,0.7026920148466262,4.920100000000005
94,94,C=C1OC=CCC2(C=CC=C1CCCOC)NCCC2C,0.8002999849416402,3.7115000000000027
95,95,CCCOc1ccccc1Cc1ccncc1C,0.7946181292439858,3.7696200000000024
96,96,CCCCc1occc1Cc1ccccc1N,0.7920353369509421,3.795200000000002
97,97,CC=C1OCCCCCCC(OCC(C)O)C1C,0.8419484645184332,3.2730000000000024
98,98,CCCc1ccsc1C(N)COC=C(C)Cl,0.7886463695719598,3.8171000000000026
99,99,CC1=C(CCCN)COCCCOCCCCC=CCCO1,0.8096186902904307,3.5694000000000026
100,100,COCC(C)=CC=Cc1ccccc1NCCc1ccoc1,0.7263593081966037,4.540100000000003
101,101,CCc1oncc1CCOC(CF)c1ccccc1O,0.8451765323564776,3.2125000000000026
