Gen:0, c1ccc(-c2ccccc2)cc1, [ 1.  -6.1] 
Gen:1, c1ccc(-c2ccccc2)cc1, [ 1.  -6.1] 
Gen:2, c1ccc(-c2ccccc2)cc1, [ 1.  -6.1] 
Gen:3, c1ccc(-c2ccccc2)cc1, [ 1.  -6.1] 
Gen:4, c1ccc(-c2ccccc2)cc1, [ 1.  -6.1] 
Gen:5, c1ccc(-c2ccccc2)cc1, [ 1.  -6.1] 
Gen:6, c1ccc(-c2ccccc2-c2ccccc2)cc1, [ 1.  -7.2] 
Gen:7, c1ccc(-c2ccccc2-c2ccccc2)cc1, [ 1.  -7.2] 
Gen:8, c1ccc(-c2ccccc2-c2ccccc2)cc1, [ 1.  -7.2] 
Gen:9, c1ccc(-c2ccccc2-c2ccccc2)cc1, [ 1.  -7.2] 
Gen:10, c1ccc(-c2ccccc2-c2ccccc2)cc1, [ 1.  -7.2] 
Gen:11, c1ccc(-c2ccccc2-c2ccccc2)cc1, [ 1.  -7.2] 
Gen:12, c1ccc(-c2ccccc2-c2ccccc2)cc1, [ 1.  -7.2] 
Gen:13, c1ccc(-c2ccccc2-c2ccccc2)cc1, [ 1.  -7.2] 
Gen:14, c1ccc(-c2ccccc2-c2ccccc2)cc1, [ 1.  -7.2] 
Gen:15, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:16, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:17, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:18, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:19, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:20, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:21, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:22, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:23, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:24, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:25, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:26, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:27, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:28, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:29, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:30, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:31, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:32, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:33, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:34, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:35, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:36, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:37, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:38, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:39, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:40, c1ccccccc(-c2ccccc2)cccccc1, [ 1. -9.] 
Gen:41, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
Gen:42, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
Gen:43, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
Gen:44, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
Gen:45, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
Gen:46, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
Gen:47, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
Gen:48, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
Gen:49, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
Gen:50, c1cccc(-c2ccccc2)cccccc(-c2ccccc2)ccc1, [ 1.01368866 -9.4       ] 
