,i,smi,qed,logp
0,0,Cc1ccc(-c2cccc(Oc3ccccc3-c3ccc(C)c(F)c3)c2)c(-c2ccccc2)c1,2.0549125609544845,-11.7
1,1,Cc1ccc(-c2ccccc2Oc2ccc(F)c(-c3ccc(C)cc3-c3ccccc3)c2)cc1,2.036336337178261,-11.6
2,2,Cc1ccc(-c2cc(Oc3ccccc3-c3ccc(C)c(F)c3)ccc2F)c(-c2ccccc2)c1,2.152679942454217,-11.9
3,3,Cc1ccc(-c2cc(Oc3ccccc3-c3ccc(C)c(F)c3)ccc2C)c(-c2ccccc2)c1,2.135470955401665,-11.8
4,4,Cc1ccc(-c2cccc(Oc3ccccc3-c3ccc(Cl)c(F)c3)c2)c(-c2ccccc2)c1,2.0828538196957442,-11.6
5,5,Cc1ccc(-c2cccc(Oc3ccccc3-c3ccc(F)cc3)c2)c(-c2ccccc2)c1,1.9494293086812284,-11.1
6,6,Cc1ccc(-c2cc(Oc3ccccc3-c3ccc(Cl)c(F)c3)ccc2F)c(-c2ccccc2)c1,2.1800679089431743,-11.8
7,7,Cc1ccc(-c2cc(C)ccc2-c2cccc(Cc3ccccc3NC(=O)C3CCCC3)c2)cc1,2.122690533377563,-11.6
8,8,Cc1ccc(-c2cc(Oc3ccccc3-c3ccc(F)c(F)c3)ccc2F)c(-c2ccccc2)c1,2.160857398661376,-11.7
9,9,Cc1ccc(-c2cccc(Cc3ccccc3-c3ccccc3)c2)c(-c2ccccc2)c1,1.8999675723554503,-10.9
10,10,Cc1cc(-c2ccccc2)c(-c2cccc(Oc3ccccc3-c3ccccc3)c2)cc1C,1.9358752471073153,-11.0
11,11,Cc1ccc(-c2cccc(Oc3ccccc3NC(=O)C3CCCC3)c2)c(-c2ccccc2)c1,2.041021246269171,-11.3
12,12,Cc1ccc(-c2cc(Cc3ccccc3-c3ccc(Cl)c(F)c3)ccc2F)c(-c2ccccc2)c1,2.2068992874656423,-11.8
13,13,Cc1ccc(-c2cc(Oc3ccccc3-c3ccc(C)c(F)c3)ccc2N)c(-c2ccccc2)c1,2.2074517627131662,-11.8
14,14,Cc1ccc(-c2cc(Oc3ccccc3-c3ccc(F)cc3)ccc2F)c(-c2ccccc2)c1,2.049814658856583,-11.3
15,15,Cc1cc(-c2ccccc2)c(-c2cccc(Oc3ccccc3-c3cccc(F)c3)c2)cc1C,2.08952794556987,-11.4
16,16,Cc1ccc(-c2cccc(Oc3ccccc3-c3cccc(F)c3)c2)c(-c2ccccc2)c1,1.9916343840182638,-11.1
17,17,Cc1ccc(-c2cc(C)ccc2-c2cccc(Cc3ccccc3NC(=O)N3CCCC3)c2)cc1,2.1542149677667037,-11.6
18,18,Cc1ccc(-c2cc(Oc3ccccc3-c3cccc(F)c3)ccc2F)c(-c2ccccc2)c1,2.0911671064090296,-11.4
19,19,Cc1ccc(-c2cccc(Nc3ccccc3-c3ccccc3NC(=O)N3CCC3)c2)c(-c2ccccc2)c1,2.278626650499291,-12.0
20,20,Cc1ccc(-c2cc(C)ccc2-c2cccc(Oc3ccccc3NC(=O)N3CCCC3)c2)cc1,2.126993700798378,-11.5
21,21,Cc1ccc(-c2cccc(Oc3ccccc3-c3ccc(F)c(F)c3)c2)c(-c2ccccc2)c1,2.063255218297142,-11.3
22,22,Cc1cc(C)c(-c2cccc(Cc3ccccc3NC(=O)N3CCCC3)c2)c(-c2ccccc2)c1,2.2227534293051647,-11.8
23,23,Cc1ccc(-c2cc(C)ccc2-c2cccc(Oc3ccccc3C(=O)N3CCCC3)c2)cc1,2.0659251483670733,-11.3
24,24,Cc1cc(C)c(-c2cccc(Oc3ccccc3NC(=O)N3CCCC3)c2)c(-c2ccccc2)c1,2.195532162336839,-11.7
25,25,Cc1ccc(-c2cccc(-c3ccccc3NC(=O)N3CCCC3)c2)c(-c2ccccc2)c1,2.035588071567828,-11.2
26,26,Cc1cc(-c2ccccc2)c(-c2cccc(Oc3ccccc3Oc3cccc(F)c3)c2)cc1C,2.1369004881286937,-11.5
27,27,Cc1ccc(-c2cccc(Oc3ccccc3NC(=O)N3CCCC3)c2)c(-c2ccccc2)c1,2.0731761693460946,-11.3
28,28,Cc1ccc(-c2cccc(Nc3ccccc3NC(=O)C3CCCC3)c2)c(-c2ccccc2)c1,2.0752655539614775,-11.3
29,29,Cc1cc(-c2ccccc2)c(-c2cccc(-c3ccccc3-c3cccc(F)c3)c2)cc1C,1.9109230675810807,-10.8
30,30,Cc1ccc(-c2cccc(Oc3ccccc3-c3ccccc3NC(=O)N3CC3)c2)c(-c2ccccc2)c1,2.2075525989034546,-11.7
31,31,Cc1ccc(-c2cc(Oc3ccccc3-c3ccccc3NC(=O)N3CCC3)ccc2C)c(-c2ccccc2)c1,2.32941351751335,-12.1
32,32,Cc1ccc(-c2cccc(-c3ccc(F)cc3NC(=O)N3CCCC3)c2)c(-c2ccccc2)c1,2.1463740994160236,-11.5
33,33,Cc1ccc(-c2cc(Oc3ccccc3-c3ccccc3-c3ccc(N)c(F)c3)ccc2F)c(-c2ccccc2)c1,2.390885947953061,-12.3
34,34,Cc1ccc(-c2cccc(Oc3ccc(N)cc3NC(=O)N3CCCC3)c2)c(-c2ccccc2)c1,2.212427184961273,-11.7
35,35,Cc1ccc(-c2cc(Oc3ccccc3-c3ccccc3-c3ccc(F)c(F)c3)ccc2F)c(-c2ccccc2)c1,2.33508245732604,-12.1
36,36,Cc1cc(-c2ccccc2)c(-c2cc(Oc3ccccc3-c3cccc(F)c3)ccc2F)cc1C,2.1845027908929087,-11.6
37,37,Cc1ccc(-c2cccc(Cc3ccccc3NC(=O)C3CCCC3)c2)c(-c2ccccc2)c1,2.068786938576862,-11.2
