,i,smi,qed,logp
0,0,Oc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4cccc(-c5ccccc5)c4)c3)c2)c1,1.7401181615791899,-12.6
1,1,Nc1cccc(-c2ccccc2-c2cccc(-c3ccccc3-c3ccc(-c4ccccc4O)cc3)c2)c1,1.9686494952195215,-12.3
2,2,Oc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4-c4cccc(O)c4)c3)c2)c1,1.7971352582474118,-12.2
3,3,Oc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4F)c3)c2)c1,1.862607253747079,-12.2
4,4,Nc1ccc(F)c(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c1,1.9193156690735051,-12.2
5,5,Nc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4-c4cccc(N)c4)c3)c2)c1,1.814279763741915,-12.1
6,6,Nc1ccc(N)c(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c1,1.9245894141398754,-12.1
7,7,Nc1ccccc1-c1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4cccc(-c5ccccc5)c4)c3)c2)c1,1.8466145522810162,-12.0
8,8,Oc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4-c4cccc(F)c4)c3)c2)c1,1.932361593211116,-12.0
9,9,Nc1ccc(-c2ccccc2-c2cccc(-c3ccccc3-c3cccc(-c4cccc(O)c4)c3)c2)cc1,1.9757369952195223,-12.2
10,10,Nc1cccc(-c2ccccc2-c2cccc(-c3ccccc3-c3cccc(-c4cccc(O)c4)c3)c2)c1,1.979694422881444,-12.3
11,11,Oc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4-c4ccccc4)c3)c2)c1,1.7370732664742956,-11.9
12,12,Cc1ccc(-c2ccccc2)cc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.7386855691663676,-11.9
13,13,Oc1ccccc1-c1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.7672802722607344,-11.9
14,14,Nc1cccc(-c2cccc(-c3ccccc3-c3ccc(-c4cccc(-c5ccccc5)c4)cc3)c2)c1,1.7707721425929392,-11.9
15,15,Oc1ccc(Cc2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)cc1,1.8838074613765325,-11.9
16,16,Oc1ccccc1-c1ccc(-c2ccccc2-c2cccc(-c3ccccc3-c3ccccc3)c2)cc1,1.700192147593178,-11.8
17,17,Fc1ccccc1-c1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.727441111421573,-11.8
18,18,Nc1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3cccc(-c4ccccc4)c3)c2)c1,1.751625574166603,-11.8
19,19,Nc1ccccc1-c1ccccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.7803736988341612,-11.8
20,20,Nc1ccc(-c2ccccc2)cc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.8040494852502817,-11.8
21,21,Clc1cccc(Nc2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)c1,1.8476891629849064,-11.8
22,22,Nc1cc(Cl)ccc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.914644801643064,-11.8
23,23,Nc1ccc(O)cc1-c1cccc(-c2ccccc2-c2cccc(-c3ccccc3)c2)c1,1.9700117410865978,-11.8
24,24,Nc1cccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4-c4ccccc4)c3)c2)c1,1.7458013783624082,-11.7
