,i,smi,qed,logp
0,0,c1ccc(-c2ccc(-c3ccccc3-c3ccccc3)cc2)cc1,1.0574006111750833,-9.2
1,1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1.0,-8.0
2,2,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1.0268896615884557,-8.2
3,3,c1ccc(-c2ccccc2-c2ccccc2)cc1,1.0,-7.2
4,4,c1ccccc(-c2ccccc2)cccc1,1.0389840613344568,-7.7
5,5,c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2)cc1,1.052922015068658,-7.7
6,6,c1ccc(CCc2ccccc2)cc1,1.014182862295245,-6.8
7,7,c1ccc(-c2ccccc2)cc1,1.0,-6.1
8,8,c1ccc(Cc2ccccc2)cc1,1.0284255677733025,-6.5
9,9,c1ccccccccc1,1.0,-5.2
10,10,c1ccc(Oc2ccccc2)cc1,1.0553403606727105,-6.3
11,11,Cc1ccc(-c2ccccc2)cc1,1.0697798309804867,-6.5
12,12,c1ccc(COc2ccccc2)cc1,1.0865509153624693,-6.6
13,13,c1ccc(Nc2ccccc2)cc1,1.0843462778324717,-6.4
14,14,CCc1ccccc1,1.0,-4.7
15,15,COc1ccc(-c2ccccc2)cc1,1.0967406232155916,-6.4
16,16,Clc1ccc(-c2ccccc2)cc1,1.0954863087132818,-6.3
17,17,Fc1ccc(-c2ccccc2)cc1,1.1048944058792731,-6.4
18,18,COc1ccccc1,1.0,-4.3
19,19,Cc1ccccc1,1.0,-4.3
20,20,c1ccc(CCCc2ccccc2)cc1,1.1442826693129504,-7.1
21,21,Fc1ccccc1,1.0,-4.2
22,22,Cc1ccccc1C,1.0337432953498862,-4.8
23,23,Clc1ccccc1,1.0,-4.1
24,24,c1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,1.2059243135494242,-8.2
25,25,c1ccc(Oc2ccc(-c3ccccc3)cc2)cc1,1.2023704673955766,-8.1
26,26,CCOc1ccccc1,1.041975344503662,-4.7
27,27,Cc1cccc(-c2ccccc2)c1,1.1592551346242104,-7.0
28,28,c1ccccc1,1.0,-3.7
29,29,c1ccc(-c2cccc(-c3ccccc3-c3ccccc3)c2)cc1,1.2860817538310911,-9.3
30,30,c1ccc(Nc2ccc(-c3ccccc3)cc2)cc1,1.2276336252903146,-8.1
31,31,CCc1ccc(-c2ccccc2)cc1,1.1697267395382909,-6.9
32,32,CCCCCCCCCCCCCCCCC,1.08338186465377,-5.1
33,33,CCCCCCCCCCCCCCCCCC,1.0745702467178884,-4.9
34,34,Cc1ccc(Cc2ccccc2)cc1,1.1912659515457982,-7.1
35,35,CCCCc1ccccc1,1.1049531863041597,-5.3
36,36,CCCc1ccccc1,1.0804143977581013,-4.8
37,37,c1ccc(CNc2ccccc2)cc1,1.1717245417360953,-6.6
38,38,Cc1ccccc1-c1ccccc1,1.1518802358387852,-6.2
39,39,c1ccc(CN2CC2)cc1,1.084966979407609,-4.8
40,40,Cc1ccc(Oc2ccccc2)cc1,1.1863252386002046,-6.7
41,41,CCCCCCCCCCCCCCCC,1.0945154774355945,-4.8
42,42,Clc1cccc(-c2ccccc2)c1,1.1856466325999193,-6.6
43,43,CCCCCCCCCCCCCCC,1.1082036891143652,-5.0
44,44,c1ccc(CCOc2ccccc2)cc1,1.2115454264962224,-6.9
45,45,Fc1ccccc1-c1ccccc1,1.1818243653934424,-6.3
46,46,Cc1ccccc1OCc1ccccc1,1.2261271747479743,-7.0
47,47,COc1ccccc1-c1ccccc1,1.1771563830654976,-6.0
48,48,Clc1ccccc1-c1ccccc1,1.1882591832072062,-6.2
49,49,CCCCCCCCCCCCCC,1.1247158094291532,-4.9
50,50,Clc1ccc(Cc2ccccc2)cc1,1.215091467493263,-6.7
51,51,Fc1cccc(-c2ccccc2)c1,1.2037814504136843,-6.4
52,52,CCCc1ccc(-c2ccccc2)cc1,1.2419936083144076,-7.1
53,53,c1ccc(N2CC2)cc1,1.1081652853320652,-4.4
54,54,Cc1ccc(-c2ccccc2)cc1C,1.2485736626152146,-7.2
55,55,c1ccc(Cc2ccccc2Cc2ccccc2)cc1,1.2839189760017433,-7.9
56,56,c1ccc(Cc2ccc(-c3ccccc3-c3ccccc3)cc2)cc1,1.3556558544975736,-9.3
57,57,c1ccc(-c2cccc(-c3ccccc3-c3ccccc3-c3ccccc3)c2)cc1,1.3885320617796175,-9.8
58,58,c1ccc(CNCc2ccccc2)cc1,1.2152685034192992,-6.3
59,59,c1ccc(CCCOc2ccccc2)cc1,1.2514821291944873,-7.0
60,60,c1ccc(OCCOc2ccccc2)cc1,1.2186314222530896,-6.3
61,61,CCCCCCCCCCCCC,1.144365108313803,-4.8
62,62,CCc1cccc(-c2ccccc2)c1,1.2595139815645595,-7.1
63,63,Oc1ccc(-c2ccccc2)cc1,1.2253559443408104,-6.4
64,64,OCc1ccccc1,1.1406996346627452,-4.7
65,65,Cc1cccc(OCc2ccccc2)c1,1.2558145873353848,-7.0
66,66,Cc1ccc(-c2ccccc2-c2ccccc2)cc1,1.2826507573703712,-7.5
67,67,Cc1ccccc1-c1ccc(-c2ccccc2)cc1,1.3234593830849573,-8.3
68,68,Cc1cccc(-c2ccc(-c3ccccc3)cc2)c1,1.3284637786893523,-8.4
69,69,CCCCCCc1ccccc1,1.2094738691001456,-6.0
70,70,c1ccccc(Cc2ccccc2)cccc1,1.300614339533503,-7.8
71,71,Cc1ccccc1Nc1ccccc1,1.2519458764988904,-6.8
72,72,CCCOc1ccccc1,1.1670269263572095,-5.1
73,73,O=C(Cc1ccccc1)c1ccccc1,1.2562425593633577,-6.8
74,74,c1ccc(CCCc2ccc(-c3ccccc3)cc2)cc1,1.306555072200414,-7.8
75,75,CCCCCCCCCCCC,1.167517301043361,-5.0
76,76,CCCCOc1ccccc1,1.1897575478356917,-5.4
77,77,Cc1cccc(Cc2ccccc2)c1,1.2798205481686864,-7.2
78,78,C(=Cc1ccccc1)c1ccccc1,1.268055389767774,-6.9
79,79,Cc1ccccc1Cc1ccccc1,1.2760584468553642,-7.0
80,80,Fc1ccc(-c2ccccc2-c2ccccc2)cc1,1.3064785046231187,-7.6
81,81,c1ccc(-c2ccccc2Oc2ccccc2-c2ccccc2)cc1,1.361677651349849,-8.7
82,82,Cc1ccccc1Oc1ccccc1,1.2635935312831332,-6.7
83,83,c1ccc(Oc2cccc(-c3ccccc3)c2)cc1,1.3439566358322086,-8.3
84,84,Cc1cccc(CCc2ccccc2)c1,1.3060792726500718,-7.5
85,85,c1ccc(COc2ccccc2-c2ccccc2)cc1,1.339840410776052,-8.1
86,86,CCCOc1ccc(-c2ccccc2)cc1,1.2798977388507886,-6.9
87,87,c1ccc(COCc2ccccc2)cc1,1.2530808111116087,-6.3
88,88,OCc1ccc(-c2ccccc2)cc1,1.2636171710579909,-6.5
89,89,Cc1ccccc1Cl,1.1740929456995346,-4.7
90,90,Cc1ccccc1COc1ccccc1,1.2922834684542686,-7.0
91,91,Fc1cccc(-c2ccc(-c3ccccc3)cc2)c1,1.3586780644036374,-8.3
92,92,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,1.3593519492375918,-8.3
93,93,CCCCCCCCCCC,1.1945998623963092,-5.0
94,94,Cc1cccc(Oc2ccccc2)c1,1.2852171710579938,-6.8
95,95,Fc1ccccc1OCc1ccccc1,1.2802247271955256,-6.7
96,96,c1ccc(CCCCOc2ccccc2)cc1,1.2907045908903285,-6.9
97,97,Nc1ccc(-c2ccccc2)cc1,1.266264041506803,-6.4
98,98,c1ccc(-c2ccc(-c3ccncc3)cc2)cc1,1.3513322987426228,-8.1
99,99,Cc1cc(-c2ccccc2)cc(-c2ccccc2)c1,1.3580397126240324,-8.2
100,100,COCc1ccccc1,1.1734179480539595,-4.5
101,101,COc1ccccc1Oc1ccccc1,1.263499202720002,-6.3
102,102,Cc1ccc(-c2ccccc2Cl)cc1,1.283597508769061,-6.7
103,103,c1ccc(-c2ccccc2Cc2ccccc2-c2ccccc2)cc1,1.4038788821190806,-9.0
104,104,c1ccc(CCc2cccc(-c3ccccc3)c2)cc1,1.380111949237591,-8.5
105,105,c1ccc(Nc2cccc(-c3ccccc3)c2)cc1,1.3661007653868662,-8.2
106,106,Clc1cccc(COc2ccccc2)c1,1.3011135383843353,-6.9
107,107,Oc1ccccc1,1.1765612788317714,-4.4
108,108,COc1ccccc1Cc1ccccc1,1.2890988530696497,-6.6
109,109,Fc1ccccc1Cc1ccccc1,1.3016096663675611,-6.8
110,110,Cc1ccccc1CCc1ccccc1,1.3221061957269953,-7.2
111,111,Cc1ccccc1F,1.192665672972261,-4.6
112,112,Cc1cccc(-c2cccc(-c3ccccc3)c2)c1,1.3927816358322112,-8.6
113,113,Fc1cccc(COc2ccccc2)c1,1.3100285733493724,-6.9
114,114,CCCCCCCc1ccccc1,1.260383069846883,-5.9
115,115,Cc1cc(-c2ccccc2)ccc1-c1ccccc1,1.3810742182497933,-8.3
116,116,Clc1ccccc1Nc1ccccc1,1.2964629496696247,-6.6
117,117,CCc1ccccc1-c1ccccc1,1.292069328656492,-6.5
118,118,Clc1cccc(CCc2ccccc2)c1,1.3294226292934255,-7.2
119,119,Cc1ccc(-c2ccccc2)cc1-c1ccccc1,1.3783099325355064,-8.1
120,120,CCOc1ccc(CCc2ccccc2)cc1,1.3249265818405558,-7.0
121,121,Fc1ccccc1Nc1ccccc1,1.3049394975120254,-6.6
122,122,Fc1ccccc1COc1ccccc1,1.3138614404822384,-6.7
123,123,CCCCCCCCCC,1.2261106443371048,-4.9
124,124,c1ccc(Oc2ccccc2-c2ccccc2)cc1,1.3631420609334235,-7.6
125,125,NCc1ccccc1,1.2234273938600708,-4.7
126,126,Cc1ccccc1-c1cccc(-c2ccccc2)c1,1.3937805369311107,-8.1
127,127,c1ccc(CCOc2ccc(-c3ccccc3)cc2)cc1,1.369894169882718,-7.6
128,128,Clc1ccccc1CCc1ccccc1,1.3427873146081133,-7.0
129,129,CCOc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1.3695525534346498,-7.5
130,130,Oc1ccccc1-c1ccccc1,1.3148931913043747,-6.4
131,131,Cc1cccc(-c2ccccc2-c2ccccc2)c1,1.3868005918761632,-7.8
132,132,Cc1ccccc(-c2ccccc2)cccc1,1.406987181223867,-8.2
133,133,c1ccc(CNc2ccccc2-c2ccccc2)cc1,1.4099919492375914,-8.2
134,134,Oc1ccc(Cc2ccccc2)cc1,1.335458446855366,-6.7
135,135,Cc1ccc(COCc2ccccc2)cc1,1.3459380007165809,-6.9
136,136,c1ccc(CCOCc2ccccc2)cc1,1.3514657830406378,-7.0
137,137,Cc1ccccc(C)cccc1,1.3273776721938244,-6.5
138,138,c1ccc(-c2ccccn2)cc1,1.2924684844847594,-5.8
139,139,Oc1ccc(Oc2ccccc2)cc1,1.3305177339097725,-6.5
140,140,Cc1ccccc1-c1ccccc1-c1ccccc1,1.3756519655025397,-7.4
141,141,Clc1ccccc1-c1ccccc1-c1ccccc1-c1ccccc1,1.413963981252138,-8.1
142,142,c1ccc(Nc2ccccc2-c2ccccc2)cc1,1.3901129111358532,-7.6
143,143,Cc1ccc(-c2ccccc2)c(-c2ccccc2)c1,1.3915132292388037,-7.6
144,144,CC(C)CCc1ccccc1,1.29763457947341,-5.7
145,145,Oc1ccccc1OCc1ccccc1,1.368544307615105,-7.1
146,146,c1ccc(CC(c2ccccc2)c2ccccc2)cc1,1.3887054383975581,-7.5
147,147,c1ccc(Cc2ccccc2-c2ccccc2)cc1,1.375853801824114,-7.2
148,148,CCc1cccc(Cc2ccccc2)c1,1.377128922999722,-7.2
149,149,Fc1ccccc1-c1ccccc1-c1ccccc1-c1ccccc1,1.4243336278217864,-8.1
150,150,CNc1ccc(-c2ccccc2)cc1,1.33551923484786,-6.3
151,151,c1ccc(-c2ccc(-c3ccccn3)cc2)cc1,1.4067256824021719,-7.7
152,152,c1ccc(-c2ccc(Oc3ccccc3-c3ccccc3)cc2)cc1,1.46236489152653,-8.8
153,153,Nc1ccccc1-c1ccccc1,1.3424871184298794,-6.4
154,154,c1ccc(CCc2ccc(N3CC3)cc2)cc1,1.3776001203020947,-7.1
155,155,CCCCCCCCC,1.2626212902326763,-4.8
156,156,c1ccc(Cc2ccccc2-c2ccc(-c3ccccc3)cc2)cc1,1.4839630453726844,-9.2
157,157,c1ccc(-c2cccnc2)cc1,1.3194646383309134,-5.9
158,158,Nc1ccc(COc2ccccc2)cc1,1.359582069852868,-6.7
159,159,CCCCCCCCc1ccccc1,1.3079856513581802,-5.6
160,160,c1ccc(-c2ccc(-c3ccccc3)nc2)cc1,1.4285769644534536,-8.0
