,i,smi,qed,logp,sas
0,0,c1ccc(NC2CCCCCCCCCCCC2)cc1,0.6798905992206778,6.161900000000006,2.0658404047723344
1,1,c1ccc(CNC2CCCCCCCCCCCC2)cc1,0.7361077776954038,5.839600000000006,2.0743115265163627
2,2,c1ccc(NC2CCCCCCCCCCCCCC2)cc1,0.6233490492223278,6.942100000000007,2.087727955743498
3,3,Clc1ccc(NC2CCCCCCCCCC2)cc1,0.6962561051672569,6.035100000000004,2.0882462452131065
4,4,c1ccc(NC2CCCCCCCCCCCCC2)cc1,0.6498091975812584,6.552000000000007,2.0926609770658136
5,5,Cc1ccc(NC2CCCCCCCCCCC2)cc1,0.6881750022972556,6.080220000000006,2.0955203004698575
6,6,c1ccc(CNC2CCCCCCCCCCCCC2)cc1,0.6974849806292998,6.2297000000000065,2.1024187357984214
7,7,CCc1ccc(N2CCCCCCCCCCCCC2)cc1,0.6140019790134355,6.360100000000006,2.107287966567654
8,8,Clc1ccc(NC2CCCCCCCCCCC2)cc1,0.6626727290242509,6.425200000000005,2.1120770149418266
9,9,Cc1ccccc1NC1CCCCCCCCCCC1,0.6881750022972556,6.080220000000006,2.1192206916041467
10,10,Cc1ccc(NC2CCCCCCCCCCCC2)cc1,0.6569083182087961,6.470320000000006,2.1208841603341604
11,11,c1ccc(CNC2CCCCCCCCCCCCCC2)cc1,0.6605814863410923,6.619800000000007,2.130875619812924
12,12,c1ccc(NC2CCCCCCCCCCC2)cc1,0.710399074497653,5.771800000000005,2.0395074800309203
13,13,Clc1ccc(NC2CCCCCCCCCCCC2)cc1,0.6320759351529495,6.815300000000005,2.1366397434607087
14,14,c1ccc(CCNC2CCCCCCCCCCCC2)cc1,0.7316897694056149,5.882100000000006,2.1378732812529684
15,15,Cc1ccccc1NC1CCCCCCCCCCCC1,0.6569083182087961,6.470320000000006,2.1434377583490463
16,16,Cc1ccc(NC2CCCCCCCCCCCCC2)cc1,0.6287768901439658,6.860420000000007,2.146836842307298
17,17,CCc1ccccc1N1CCCCCCCCCCCC1,0.6474030687120109,5.970000000000006,2.1479332918478065
18,18,CCc1cccc(N2CCCCCCCCCCCC2)c1,0.6474030687120109,5.970000000000006,2.1485184035103373
19,19,Cc1cccc(NC2CCCCCCCCCCC2)c1,0.6881750022972556,6.080220000000006,2.1514939640943673
20,20,CCc1ccc(NC2CCCCCCCCCCC2)cc1,0.6841773009862948,6.334200000000006,2.1525963191430915
21,21,c1ccc(CNC2CCCCCCCCCCCCCCC2)cc1,0.6285527603727997,7.009900000000007,2.1596647210632227
22,22,c1ccc(CCNC2CCCCCCCCCCCCC2)cc1,0.6899033504837069,6.272200000000006,2.1647886632911852
23,23,CCc1cccc(CN2CCCCCCCCCCCCC2)c1,0.627366052355883,6.355700000000007,2.1652623009067664
24,24,Clc1ccc(NC2CCCCCCCCCCCCC2)cc1,0.6065909143704846,7.205400000000005,2.1618652446741624
25,25,Oc1ccc(C2CCCCCCCCCCCCC2)cc1,0.6200088642962437,6.560700000000006,2.1682760814178508
26,26,Cc1ccccc1NC1CCCCCCCCCCCCC1,0.6287768901439658,6.860420000000007,2.1683495050291928
27,27,Clc1ccccc1NC1CCCCCCCCCCCC1,0.6320759351529495,6.815300000000004,2.17129309333664
28,28,CCc1ccccc1N1CCCCCCCCCCCCC1,0.6140019790134355,6.360100000000006,2.1726375523664707
29,29,CCc1cccc(N2CCCCCCCCCCCCC2)c1,0.6140019790134352,6.360100000000007,2.173195658875345
30,30,Cc1cccc(NC2CCCCCCCCCCCC2)c1,0.6569083182087961,6.470320000000006,2.174149420880063
31,31,CCc1ccc(NC2CCCCCCCCCCCC2)cc1,0.6527249979898436,6.724300000000007,2.1770853630173583
32,32,CCCCc1cccc(N2CCCCCCCCCCC2)c1,0.6251014899312817,6.360100000000007,2.181701457691913
33,33,Cc1ccc(NC2CCCCCCCCCCCCCC2)cc1,0.6056519357964347,7.250520000000007,2.173329721721247
34,34,COc1ccc(NC2CCCCCCCCCCCCCC2)cc1,0.6466561641003667,6.950700000000007,2.185866535797784
35,35,CCc1cccc(NC2CCCCCCCCCC2)c1,0.717837642534359,5.944100000000006,2.190183403468554
36,36,c1ccc(CCNC2CCCCCCCCCCCCCC2)cc1,0.6507419965287455,6.662300000000007,2.1921647210632216
37,37,CC(C)c1cccc(N2CCCCCCCCCCC2)c1,0.6310925987796577,6.1409000000000065,2.19381831808545
38,38,CCc1ccccc1NC1CCCCCCCCCC1,0.717837642534359,5.944100000000006,2.194855893690196
39,39,Cc1cccc(NC2CCCCCCCCCCCCC2)c1,0.6287768901439658,6.860420000000007,2.1976437062126237
40,40,Clc1ccccc1NC1CCCCCCCCCCCCC1,0.6065909143704846,7.2054000000000045,2.1949192091712035
41,41,CCCCc1cccc(NC2CCCCCCCC2)c1,0.6992701126047421,5.944100000000006,2.1995541987749423
42,42,Cc1ccccc1CNC1CCCCCCCCCCCC1,0.7058905252471637,6.148020000000006,2.200187138165287
43,43,CCc1ccc(NC2CCCCCCCCCCCCC2)cc1,0.6260796561732711,7.114400000000007,2.2022437488705666
44,44,CCc1ccccc1CN1CCCCCCCCCCCCC1,0.627366052355883,6.355700000000007,2.203361622173734
45,45,Cc1ccccc1NC1CCCCCCCCCCCCCC1,0.6056519357964347,7.250520000000007,2.1938932963818782
46,46,COc1cccc(NC2CCCCCCCCCCCCC2)c1,0.6812059510825708,6.560600000000007,2.208283115386404
47,47,CCc1cccc(NC2CCCCCCCCCCC2)c1,0.6841773009862948,6.334200000000006,2.2109667906071113
48,48,CCOc1ccc(NC2CCCCCCCCCCCCC2)cc1,0.644147980760782,6.950700000000007,2.212847034172647
49,49,CCc1ccccc1NC1CCCCCCCCCCC1,0.6841773009862948,6.334200000000006,2.215413192592223
50,50,NCc1ccc(N2CCCCCCCCCCCCCCC2)cc1,0.7163106281081874,6.036600000000007,2.215667626140567
51,51,Clc1cccc(NC2CCCCCCCCCCCCC2)c1,0.6065909143704846,7.205400000000005,2.2145061914197246
52,52,CCCCc1cccc(NC2CCCCCCCCC2)c1,0.6664804267065103,6.334200000000006,2.219884160334157
53,53,c1ccc(CCNC2CCCCCCCCCCCCCCC2)cc1,0.6171511023760359,7.0524000000000076,2.219970307096
54,54,CCCc1ccccc1N1CCCCCCCCCCCC1,0.6275355100468822,6.360100000000007,2.221780747632744
55,55,Cc1ccccc1CNC1CCCCCCCCCCCCC1,0.667580407728017,6.538120000000007,2.2243263280560885
56,56,CNc1ccc(C2CCCCCCCCCCC2)cc1,0.6844613031074198,6.116600000000006,2.2291521127253997
57,57,NCc1ccc(C2CCCCCCCCCCCC2)cc1,0.7171075212148319,5.923700000000006,2.2311911082249782
58,58,CCCc1cccc(NC2CCCCCCCCCC2)c1,0.681523584524714,6.334200000000006,2.231666790607111
59,59,CCc1cccc(NC2CCCCCCCCCCCC2)c1,0.6527249979898436,6.724300000000007,2.2327618127215008
60,60,Clc1ccccc1CNC1CCCCCCCCCCCCC1,0.6341255710150474,6.883100000000005,2.2335503099565415
61,61,Cc1cccc(NC2CCCCCCCCCCCCCC2)c1,0.6056519357964347,7.250520000000007,2.22189510633663
