,i,smi,qed,logp,sas
0,0,c1cnc(-c2ccc(NC3CCCCCCC3)cc2)nc1,0.8881465802862921,4.668400000000003,1.9139820819706301
1,1,c1cnc(-c2cccc(CNC3CCCCCCC3)c2)nc1,0.9111206245219837,4.346100000000003,1.9794653152287154
2,2,c1cncc(-c2ccc(CNC3CCCCCCC3)cn2)c1,0.9111206245219837,4.346100000000003,2.0194513292147285
3,3,c1cc(-c2ccc(NC3CCCCCCC3)cc2)ncn1,0.8881465802862921,4.668400000000004,1.967045818234368
4,4,c1cnc(-c2cccc(NC3CCCCCCC3)c2)nc1,0.8881465802862921,4.668400000000004,1.9690436204321689
5,5,c1cc(CNC2CCCCCCC2)cc(-c2cnccn2)c1,0.9111206245219837,4.346100000000003,2.0324058746692746
6,6,c1cnc(Cc2ccc(NC3CCCCCCC3)cc2)nc1,0.8959754251382938,4.592200000000004,2.037822657886057
7,7,c1cncc(-c2cccc(CNC3CCCCCCC3)n2)c1,0.9111206245219837,4.3461000000000025,2.0612016788650784
8,8,c1ccc(-c2cc(CNC3CCCCCCC3)ccn2)nc1,0.9111206245219837,4.346100000000003,2.0621730075364066
9,9,c1ccc(-c2cccc(CNC3CCCCCCC3)c2)nc1,0.862566150123283,4.951100000000004,1.859205175368574
10,10,c1ccc(-c2cccc(CNC3CCCCCCC3)n2)nc1,0.9111206245219837,4.3461000000000025,2.064564615928015
11,11,c1ccc(-c2nccnc2NC2CCCCCCC2)cc1,0.8881465802862921,4.668400000000004,2.0127623017508505
12,12,c1cncc(-c2cccc(CNC3CCCCCCC3)c2)c1,0.862566150123283,4.951100000000004,1.8706198606832611
13,13,c1cnc(-c2ccccc2NC2CCCCCCC2)nc1,0.8881465802862921,4.668400000000003,2.017059005047555
14,14,c1cncc(-c2ccc(NC3CCCCCCC3)cn2)c1,0.8881465802862921,4.668400000000004,2.0183403237288733
15,15,c1cc(NC2CCCCCCC2)cc(-c2cnccn2)c1,0.8881465802862921,4.668400000000004,2.0245051588937084
16,16,c1ccc(-c2cnccn2)c(CNC2CCCCCCC2)c1,0.9111206245219837,4.3461000000000025,2.087370909634311
17,17,c1cncc(-c2cccc(NC3CCCCCCC3)n2)c1,0.8881465802862921,4.668400000000003,2.0321051588937085
18,18,c1ccc(-c2cccc(NC3CCCCCCC3)n2)nc1,0.8881465802862921,4.668400000000003,2.035628235816784
19,19,c1ccc(-c2ncccc2CNC2CCCCCCC2)cc1,0.862566150123283,4.951100000000004,1.9037184620818621
20,20,CC1CCC(NCc2cccc(-c3ccccn3)c2)CC1,0.8965949688749191,4.416900000000003,1.9417694268837842
21,21,c1ccc(-c2ccccc2CNC2CCCCCCC2)nc1,0.862566150123283,4.951100000000003,1.9155800005434003
22,22,c1ccc(-c2cnccn2)c(NC2CCCCCCC2)c1,0.8881465802862921,4.668400000000003,2.069195268783819
23,23,c1ccc(-c2ccncc2CNC2CCCCCCC2)cc1,0.862566150123283,4.951100000000004,1.942563217326617
24,24,c1ccc(-c2nnccc2CNC2CCCCCCC2)cc1,0.9111206245219837,4.346100000000003,2.150486294249694
25,25,c1ccc(-c2nccnc2CNC2CCCCCCC2)cc1,0.9111206245219837,4.346100000000003,2.153173706837107
26,26,c1ccc(Cc2cccc(NC3CCCCCCC3)n2)nc1,0.8959754251382939,4.592200000000003,2.160163916627315
27,27,CC1CCCC(NCc2cccc(-c3cccnc3)n2)CCC1,0.8971689169654882,4.592100000000004,2.185419863471573
28,28,c1ccc(-c2ncccc2NC2CCCCCCC2)nc1,0.8881465802862921,4.668400000000003,2.1182524116409596
29,29,OCc1cccc(-c2cncc(C3CCCCCCC3)c2)n1,0.9089831500759018,4.4638000000000035,2.2760928246423777
30,30,c1cc(NCC2CCCCCCC2)cc(-c2cnccn2)c1,0.8699782746115724,4.916000000000004,2.079323357186759
31,31,c1ccc(-c2cccnc2CNC2CCCCCCC2)cc1,0.862566150123283,4.951100000000004,1.9929149655783664
32,32,NCc1ccc(-c2ncccc2C2CCCCCCC2)nc1,0.9109599643014954,4.430200000000004,2.281767617541787
33,33,Cc1c(CNC2CCCCCCC2)cccc1-c1cnccn1,0.8926852820778981,4.654520000000004,2.2033954290824305
34,34,Cc1cc(NC2CCCCCCC2)ccc1-c1ccncn1,0.867728415176472,4.9768200000000045,2.1198954281926756
35,35,Cc1cc(NC2CCCCCCC2)cc(-c2ncccn2)c1,0.8677284151764721,4.976820000000004,2.1216400435772886
36,36,c1ccc(-c2cccc(CNC3CCCCC3)c2)nc1,0.8980149969186957,4.170900000000002,1.8207196415452849
37,37,NCc1cccc(-c2cncc(C3CCCCCCC3)c2)n1,0.9109599643014954,4.430200000000004,2.2985321145832067
38,38,OCc1cccc(-c2ncccc2C2CCCCCCC2)n1,0.9089831500759018,4.4638000000000035,2.3031247773051007
39,39,CC1CCCC(Nc2cccc(-c3ccccn3)n2)CCC1,0.8735111484722197,4.914400000000004,2.163843120500367
40,40,NCc1cccc(-c2cncc(C3CCCCCCC3)c2)c1,0.861402499300604,5.035200000000005,2.0838826471275844
41,41,c1cncc(-c2cccc(CNC3CCCCC3)c2)c1,0.8980149969186957,4.170900000000002,1.8332757953914367
42,42,NCc1cccnc1-c1ccc(C2CCCCCCC2)nc1,0.9109599643014954,4.430200000000004,2.318508919316935
43,43,NCc1cccc(-c2ncccc2C2CCCCCCC2)n1,0.9109599643014954,4.430200000000004,2.325564067245928
44,44,COc1cc(Cl)ccc1CNC1CCCCCCC1,0.8740318207326838,4.5511000000000035,1.8318598526154268
45,45,OCc1cncc(-c2ncccc2C2CCCCCCC2)c1,0.9089831500759018,4.4638000000000035,2.327413061328768
46,46,NCc1ncccc1-c1ncccc1C1CCCCCCC1,0.9109599643014954,4.430200000000004,2.3345789784885316
47,47,NCc1ccnc(-c2ccccc2C2CCCCCCC2)c1,0.861402499300604,5.035200000000005,2.115390102748888
48,48,NCc1cccc(-c2ncccc2C2CCCCCCC2)c1,0.861402499300604,5.035200000000005,2.1168066707962243
49,49,c1ccc(-n2ccnc2CNC2CCCCCCC2)cc1,0.9161666787417998,4.074800000000003,2.0708304336189833
