,i,smi,qed,logp,sas
0,0,Oc1ccc(Oc2ccc(CN3CCCCCC3)cc2)cc1,0.8975977046356668,4.560500000000004,1.6789167299678223
1,1,Oc1ccc(OCc2ccc(N3CCCCCC3)cc2)cc1,0.9102647309131459,4.351600000000004,1.6834412270092436
2,2,OCc1ccc(Oc2ccc(N3CCCCCC3)cc2)cc1,0.910264730913146,4.351600000000003,1.7096253690210759
3,3,Oc1ccc(Oc2ccc(N3CCCCCC3)cc2)cc1,0.8956074704212411,4.564900000000004,1.6842376650971804
4,4,Oc1ccc(-c2ccc(CN3CCCCCC3)cc2)cc1,0.8990047609831084,4.435200000000004,1.6222426278763376
5,5,Oc1ccccc1Oc1ccc(CN2CCCCCC2)cc1,0.8975977046356668,4.560500000000004,1.7253673808553955
6,6,Oc1ccccc1OCc1ccc(N2CCCCCC2)cc1,0.910264730913146,4.351600000000003,1.7326888009737367
7,7,Oc1ccc(Oc2cccc(CN3CCCCCC3)c2)cc1,0.8975977046356668,4.560500000000004,1.7347103394352779
8,8,CC1CCN(Cc2ccc(Oc3ccc(O)cc3)cc2)CC1,0.9066389099285427,4.416400000000004,1.746063020648295
9,9,Oc1cccc(COc2ccc(N3CCCCCC3)cc2)c1,0.910264730913146,4.351600000000003,1.7471889193169332
10,10,Oc1ccc(N2CCCCCC2)cc1OCc1ccccc1,0.9102647309131459,4.351600000000004,1.7528061974234426
11,11,Oc1cccc(Oc2ccc(CN3CCCCCC3)cc2)c1,0.8975977046356668,4.560500000000004,1.7537349548198922
12,12,Oc1ccccc1Oc1ccc(N2CCCCCC2)cc1,0.8956074704212411,4.564900000000004,1.732935928124478
13,13,OCc1cccc(Oc2ccc(N3CCCCCC3)cc2)c1,0.910264730913146,4.351600000000003,1.7661815820388274
14,14,Oc1ccccc1COc1ccc(N2CCCCCC2)cc1,0.910264730913146,4.351600000000004,1.7685311678376454
15,15,Oc1ccc(Oc2ccccc2CN2CCCCCC2)cc1,0.8975977046356668,4.560500000000004,1.7672786234589477
16,16,Oc1ccc(CN2CCCCCC2)cc1Oc1ccccc1,0.8975977046356668,4.560500000000004,1.769283120500365
17,17,Oc1cc(N2CCCCCC2)ccc1OCc1ccccc1,0.9102647309131459,4.351600000000004,1.7726530613287679
18,18,Oc1ccc(Oc2ccc(CN3CCCCC3)cc2)cc1,0.9137375420429641,4.170400000000003,1.6504910149731113
19,19,Oc1cc(CN2CCCCCC2)ccc1Oc1ccccc1,0.8975977046356668,4.560500000000004,1.7766364932814316
20,20,Oc1ccc(Oc2cccc(N3CCCCCC3)c2)cc1,0.8956074704212411,4.564900000000004,1.7490823301095872
21,21,OCc1ccc(Oc2ccccc2N2CCCCCC2)cc1,0.910264730913146,4.351600000000003,1.7810715228672311
22,22,Oc1ccccc1-c1ccc(CN2CCCCCC2)cc1,0.8990047609831084,4.435200000000004,1.6771202953701358
23,23,Cc1cc(Oc2ccc(CN3CCCCC3)cc2)ccc1O,0.9028901638620871,4.478820000000004,1.7866387418021414
