,i,smi,qed,logp,sas
0,0,c1ccc(Cc2ccc(Cc3ccccc3)cc2)cc1,0.626110832075121,1.075501468865891,4.868200000000004
1,1,Cc1ccc(-c2ccccc2)cc1,0.6092016568043108,1.0697798309804867,3.662020000000002
2,2,c1ccc(CCc2ccccc2)cc1,0.6814602021498524,1.014182862295245,3.4718000000000018
3,3,c1ccc(Oc2ccccc2)cc1,0.6700363845267113,1.0553403606727105,3.478900000000001
4,4,c1ccc(Cc2ccccc2)cc1,0.6452001853099995,1.0284255677733025,3.277400000000002
5,5,O=C(Nc1ccccc1)c1ccccc1,0.7874913866928777,1.0574495523703487,2.938900000000001
6,6,c1ccc(Nc2ccccc2)cc1,0.7258030102508874,1.0843462778324717,3.430200000000001
7,7,c1ccc(COc2ccccc2)cc1,0.7109826240797368,1.0865509153624693,3.265600000000002
8,8,Clc1ccc(-c2ccccc2)cc1,0.6346172430604238,1.0954863087132818,4.007000000000002
9,9,COc1ccc(-c2ccccc2)cc1,0.6949649441287625,1.0967406232155916,3.3622000000000014
10,10,Fc1ccc(-c2ccccc2)cc1,0.6172445494970528,1.1048944058792731,3.492700000000002
11,11,O=C(O)c1ccccc1,0.6106035394285075,1.0549172379947862,1.3848
12,12,CC(=O)Nc1ccccc1,0.6227994751052723,1.1125776084337549,1.6449999999999998
13,13,c1ccc(CCCCc2ccccc2)cc1,0.6470356351847119,1.1327382804544328,4.252000000000003
14,14,O=C(NCc1ccccc1)c1ccccc1,0.8303445311416687,1.1418574769849918,2.616600000000001
15,15,c1ccc(CCCc2ccccc2)cc1,0.6961792960252651,1.1442826693129504,3.861900000000003
16,16,Cc1ccccc1-c1ccccc1,0.6092016568043108,1.1518802358387852,3.662020000000002
17,17,O=C(c1ccccc1)c1ccccc1,0.6524732866647586,1.1539286157108997,2.917600000000001
18,18,Cc1cccc(-c2ccccc2)c1,0.6092016568043108,1.1592551346242104,3.662020000000002
19,19,Cc1ccc(OCc2ccccc2)cc1,0.7321511533436246,1.1614310209018193,3.5740200000000018
20,20,CCc1ccc(-c2ccccc2)cc1,0.6600721960270077,1.1697267395382909,3.916000000000002
21,21,c1ccc(CNc2ccccc2)cc1,0.7694584990161155,1.1717245417360953,3.298700000000001
22,22,O=C(Cc1ccccc1)Nc1ccccc1,0.8305851686304766,1.1768440563630627,2.867800000000001
23,23,COc1ccccc1-c1ccccc1,0.6949649441287625,1.1771563830654976,3.3622000000000014
24,24,COc1cccc(-c2ccccc2)c1,0.6949649441287625,1.1812325556733771,3.3622000000000014
25,25,Fc1ccccc1-c1ccccc1,0.6172445494970528,1.1818243653934424,3.492700000000002
26,26,Clc1cccc(-c2ccccc2)c1,0.6346172430604238,1.1856466325999193,4.007000000000002
27,27,Cc1ccc(Oc2ccccc2)cc1,0.6895968599236015,1.1863252386002046,3.787320000000002
28,28,Clc1ccccc1-c1ccccc1,0.6346172430604238,1.1882591832072062,4.007000000000002
29,29,c1ccc(CCCCCc2ccccc2)cc1,0.6268678339288983,1.1897427769900446,4.642100000000004
30,30,Cc1ccc(COc2ccccc2)cc1,0.7321511533436246,1.1898911607619596,3.5740200000000018
31,31,CCOc1ccc(-c2ccccc2)cc1,0.729388818178525,1.1908194824402791,3.7523000000000026
32,32,Cc1ccc(Cc2ccccc2)cc1,0.6655165943403577,1.1912659515457982,3.585820000000002
33,33,Fc1ccc(OCc2ccccc2)cc1,0.7407182581716487,1.191757244678044,3.404700000000002
